,gradient_boosting,random_forest,average
feature_74,0.00010191010098091229,1.8987672826777494e-05,6.0448886903844895e-05
feature_6,1.8416184848519007e-05,9.917521146719805e-05,5.879569815785853e-05
feature_8,6.175103540917951e-05,5.419808099171189e-05,5.79745582004457e-05
feature_83,9.185491625183991e-05,2.2039519100020354e-05,5.694721767593013e-05
feature_76,9.818495710511414e-05,1.2068334850974509e-05,5.5126645978044324e-05
feature_37,2.7911981816190497e-05,8.054665638403753e-05,5.4229319100114014e-05
feature_104,3.448229643601932e-05,6.12770476636749e-05,4.787967204984711e-05
feature_68,6.686670970439998e-05,1.9876037496977204e-05,4.337137360068859e-05
feature_93,5.6471051730209866e-05,2.909710054941575e-05,4.278407613981281e-05
feature_1,4.161526944206365e-05,4.373098585679889e-05,4.267312764943127e-05
feature_72,6.143955120747568e-05,2.191447931810638e-05,4.167701526279103e-05
feature_84,1.9084532012543566e-05,6.375103929228714e-05,4.141778565241535e-05
feature_88,4.36079750468395e-05,3.7495305131422725e-05,4.055164008913111e-05
feature_19,3.461964022006856e-05,4.567193029495839e-05,4.0145785257513476e-05
feature_90,5.05484956558137e-05,2.173373354719582e-05,3.614111460150476e-05
feature_105,3.0261940137329325e-05,3.825727375059868e-05,3.4259606943964006e-05
feature_9,2.2983399213046247e-05,4.407756865813356e-05,3.3530483935589903e-05
feature_80,1.9050348451079628e-05,4.331357285497496e-05,3.118196065302729e-05
feature_96,3.6014528898998394e-05,2.3902973916179104e-05,2.995875140758875e-05
feature_102,3.6450276764831984e-05,2.3360045040616144e-05,2.9905160902724066e-05
feature_73,3.7195929460407374e-05,2.1879578734229747e-05,2.953775409731856e-05
feature_75,2.7197899085113763e-05,3.04359990740751e-05,2.881694907959443e-05
feature_87,3.377816933188139e-05,1.3117125071641239e-05,2.3447647201761314e-05
feature_106,2.0903110006862387e-05,2.4435102425730833e-05,2.266910621629661e-05
feature_66,2.521124689567822e-05,1.8698298323654845e-05,2.195477260966653e-05
feature_65,2.9712679733051688e-05,8.238868106083649e-06,1.8975773919567667e-05
feature_91,2.3662661828859963e-05,8.575416507283165e-06,1.6119039168071563e-05
feature_95,7.089046387433832e-06,2.2165900961540313e-05,1.4627473674487072e-05
feature_98,9.487682073636983e-06,1.7877225676951856e-05,1.368245387529442e-05
feature_85,8.525328496413975e-06,1.8039599077651545e-05,1.3282463787032761e-05
feature_100,9.783903575216953e-06,8.561248980404998e-06,9.172576277810976e-06
feature_70,8.140094602260616e-06,2.492086295378737e-06,5.316090448819676e-06
feature_81,6.092849722992214e-07,0.0,3.046424861496107e-07
