path,file_size_mb,n_samples,n_features,authenticity_flag,synthetic_score,red_flags,reason
/Users/stillwell/projects/cancer-alpha/data/advanced_multi_omics/advanced_multi_omics_20250820_212032.csv,0.0,0,0,ERROR,0.0,Read error: No columns to parse from file,Failed to read: No columns to parse from file
/Users/stillwell/projects/cancer-alpha/data/processed_massive_tcga/tcga_mutation_labels_20250820_102621.csv,0.13332653045654297,4572,2,AUTHENTIC,0.0,None,Synthetic score: 0. Issues: 0
/Users/stillwell/projects/cancer-alpha/data/focused_multi_omics/tcga_focused_multi_omics_20250820_133706.csv,1.0146722793579102,3855,41,SYNTHETIC,29.0,Column 'copy_number_available' has suspiciously low variance: 2 unique values; Column 'protein_median' has suspiciously low variance: 9 unique values; Column 'protein_q75' has suspiciously low variance: 13 unique values; Column 'protein_max' has suspiciously low variance: 2 unique values; Column 'protein_high_expr' has suspiciously low variance: 4 unique values; Column 'protein_low_expr' has suspiciously low variance: 4 unique values; Column 'protein_extreme_high' has suspiciously low variance: 2 unique values; Column 'protein_extreme_low' has suspiciously low variance: 2 unique values; Column 'protein_total_measured' has suspiciously low variance: 13 unique values; Column 'protein_zero_ratio' has suspiciously low variance: 10 unique values; Column 'protein_available' has suspiciously low variance: 2 unique values; Column 'mutations_available' has identical values across 3855 rows; Column 'omics_count' has suspiciously low variance: 2 unique values,Synthetic score: 29. Issues: 13
/Users/stillwell/projects/cancer-alpha/data/ultra_permissive_50k_output/ultra_permissive_50k_plus_50000_20250822_184637.csv,6.542285919189453,50000,16,SYNTHETIC,4142.3,Column 'num_data_types' has suspiciously low variance: 3 unique values; Column 'num_files' has suspiciously low variance: 20 unique values; Column 'quality_score' has suspiciously low variance: 5 unique values; Invalid TCGA barcodes: 41363/50000,Synthetic score: 4142.3. Issues: 4
/Users/stillwell/projects/cancer-alpha/data/processed_50k/oncura_integrated_multi_omics_50k.csv,2.0428171157836914,9075,5,AUTHENTIC,0.0,None,Synthetic score: 0. Issues: 0
/Users/stillwell/projects/cancer-alpha/data/processed_50k/oncura_comprehensive_multi_omics_50k.csv,7.372200012207031,9660,9,WARNING,1.0,Invalid TCGA barcodes: 10/9660,Synthetic score: 1.0. Issues: 1
/Users/stillwell/projects/cancer-alpha/data/oncura_models/oncura_results_20250822_073422.csv,0.000415802001953125,5,5,AUTHENTIC,0.0,None,Synthetic score: 0. Issues: 0
/Users/stillwell/projects/cancer-alpha/data/oncura_models/oncura_results_20250820_232142.csv,0.000415802001953125,5,5,AUTHENTIC,0.0,None,Synthetic score: 0. Issues: 0
/Users/stillwell/projects/cancer-alpha/data/filename_processed/tcga_multi_omics_integration_20250820_231518.csv,1.5564374923706055,9037,19,SYNTHETIC,24.0,Column 'num_omics_types' has suspiciously low variance: 2 unique values; Column 'total_files' has suspiciously low variance: 6 unique values; Column 'mutations_files' has suspiciously low variance: 7 unique values; Column 'expression_files' has identical values across 9037 rows; Column 'expression_file' has suspiciously low variance: 0 unique values; Column 'protein_files' has suspiciously low variance: 3 unique values; Column 'copy_number_files' has suspiciously low variance: 2 unique values; Column 'methylation_files' has identical values across 9037 rows; Column 'methylation_file' has suspiciously low variance: 0 unique values,Synthetic score: 24. Issues: 9
/Users/stillwell/projects/cancer-alpha/data/complete_50k/complete_50k_samples_8372.csv,0.32576942443847656,8372,11,SYNTHETIC,33.0,Column 'file_count' has suspiciously low variance: 4 unique values; Column 'omics_types' has suspiciously low variance: 2 unique values; Column 'expression_files' has identical values across 8372 rows; Column 'mutations_files' has identical values across 8372 rows; Column 'copy_number_files' has suspiciously low variance: 3 unique values; Column 'methylation_files' has identical values across 8372 rows; Column 'protein_files' has suspiciously low variance: 4 unique values; Column 'clinical_files' has identical values across 8372 rows; Column 'direct_files' has identical values across 8372 rows,Synthetic score: 33. Issues: 9
/Users/stillwell/projects/cancer-alpha/data/simple_50k_output/tcga_simple_50k_20250822_182755.csv,2.2572097778320312,11675,12,SYNTHETIC,17.0,Column 'score' has suspiciously low variance: 4 unique values; Column 'file_count' has suspiciously low variance: 2 unique values; Column 'omics_count' has identical values across 11675 rows; Column 'expression' has suspiciously low variance: 0 unique values; Column 'methylation' has suspiciously low variance: 0 unique values; Column 'mirna' has suspiciously low variance: 0 unique values; Column 'mutations' has suspiciously low variance: 0 unique values,Synthetic score: 17. Issues: 7
/Users/stillwell/projects/cancer-alpha/data/simple_50k_output/tcga_simple_50k_20250822_184046.csv,2.2572097778320312,11675,12,SYNTHETIC,17.0,Column 'score' has suspiciously low variance: 4 unique values; Column 'file_count' has suspiciously low variance: 2 unique values; Column 'omics_count' has identical values across 11675 rows; Column 'expression' has suspiciously low variance: 0 unique values; Column 'methylation' has suspiciously low variance: 0 unique values; Column 'mirna' has suspiciously low variance: 0 unique values; Column 'mutations' has suspiciously low variance: 0 unique values,Synthetic score: 17. Issues: 7
/Users/stillwell/projects/cancer-alpha/data/comprehensive_50k_output/comprehensive_50k_tcga_20250822_184254.csv,4.345879554748535,39074,13,SYNTHETIC,3401.1000000000004,Column 'num_data_types' has suspiciously low variance: 3 unique values; Column 'num_files' has suspiciously low variance: 6 unique values; Column 'quality_score' has suspiciously low variance: 5 unique values; Invalid TCGA barcodes: 33951/39074,Synthetic score: 3401.1000000000004. Issues: 4
/Users/stillwell/projects/cancer-alpha/data/ultra_massive_integrated/ultra_massive_labels_20250822_105615.csv,2.09808349609375e-05,0,2,AUTHENTIC,0.0,None,Synthetic score: 0. Issues: 0
/Users/stillwell/projects/cancer-alpha/data/ultra_massive_integrated/ultra_massive_features_20250822_105615.csv,0.0,0,0,ERROR,0.0,Read error: No columns to parse from file,Failed to read: No columns to parse from file
/Users/stillwell/projects/cancer-alpha/data/ultra_massive_integrated/ultra_massive_labels_20250821_235719.csv,2.09808349609375e-05,0,2,AUTHENTIC,0.0,None,Synthetic score: 0. Issues: 0
/Users/stillwell/projects/cancer-alpha/data/ultra_massive_integrated/ultra_massive_features_20250821_235719.csv,0.0,0,0,ERROR,0.0,Read error: No columns to parse from file,Failed to read: No columns to parse from file
/Users/stillwell/projects/cancer-alpha/data/final_50k_dataset/tcga_50k_preview_20250822_183020.csv,4.657817840576172,19875,12,SYNTHETIC,826.0,Column 'score' has suspiciously low variance: 5 unique values; Column 'file_count' has suspiciously low variance: 3 unique values; Column 'omics_count' has suspiciously low variance: 2 unique values; Invalid TCGA barcodes: 8200/19875,Synthetic score: 826.0. Issues: 4
/Users/stillwell/projects/cancer-alpha/data/50k_preprocessing_output/processed_datasets_20250822_191500/robust/onehot_features.csv,10.45201587677002,50000,34,SYNTHETIC,58.0,Column 'num_data_types' has suspiciously low variance: 3 unique values; Column 'num_files' has suspiciously low variance: 20 unique values; Column 'quality_score' has suspiciously low variance: 5 unique values; Column 'omics_completeness_score' has suspiciously low variance: 4 unique values; Column 'omics_diversity_index' has suspiciously low variance: 4 unique values; Column 'quality_score_normalized' has suspiciously low variance: 5 unique values; Column 'cancer_type_frequency' has suspiciously low variance: 34 unique values; Column 'cancer_type_rarity' has suspiciously low variance: 34 unique values; Column 'has_expression' has suspiciously low variance: 2 unique values; Column 'has_methylation' has suspiciously low variance: 2 unique values; Column 'has_copy_number' has suspiciously low variance: 2 unique values; Column 'has_mutations' has suspiciously low variance: 2 unique values; Column 'has_protein' has suspiciously low variance: 2 unique values; Column 'has_clinical' has suspiciously low variance: 2 unique values; Column 'cancer_type_frequency.1' has suspiciously low variance: 34 unique values; Column 'cancer_type_rarity.1' has suspiciously low variance: 34 unique values; Column 'cancer_type_label' has suspiciously low variance: 34 unique values; Column 'cancer_type_ordinal' has suspiciously low variance: 34 unique values; Column 'cancer_type_TCGA-BLCA' has suspiciously low variance: 2 unique values; Column 'cancer_type_TCGA-BRCA' has suspiciously low variance: 2 unique values; Column 'cancer_type_TCGA-GBM' has suspiciously low variance: 2 unique values; Column 'cancer_type_TCGA-HNSC' has suspiciously low variance: 2 unique values; Column 'cancer_type_TCGA-KIRC' has suspiciously low variance: 2 unique values; Column 'cancer_type_TCGA-LGG' has suspiciously low variance: 2 unique values; Column 'cancer_type_TCGA-OV' has suspiciously low variance: 2 unique values; Column 'cancer_type_TCGA-SKCM' has suspiciously low variance: 2 unique values; Column 'cancer_type_TCGA-THCA' has suspiciously low variance: 2 unique values; Column 'cancer_type_TCGA-UCEC' has suspiciously low variance: 2 unique values; Column 'quality_tier_ordinal' has suspiciously low variance: 3 unique values,Synthetic score: 58. Issues: 29
/Users/stillwell/projects/cancer-alpha/data/50k_preprocessing_output/processed_datasets_20250822_191500/robust/tree_friendly_features.csv,6.997594833374023,50000,22,SYNTHETIC,36.0,Column 'num_data_types' has suspiciously low variance: 3 unique values; Column 'num_files' has suspiciously low variance: 20 unique values; Column 'quality_score' has suspiciously low variance: 5 unique values; Column 'omics_completeness_score' has suspiciously low variance: 4 unique values; Column 'omics_diversity_index' has suspiciously low variance: 4 unique values; Column 'quality_score_normalized' has suspiciously low variance: 5 unique values; Column 'cancer_type_frequency' has suspiciously low variance: 34 unique values; Column 'cancer_type_rarity' has suspiciously low variance: 34 unique values; Column 'has_expression' has suspiciously low variance: 2 unique values; Column 'has_methylation' has suspiciously low variance: 2 unique values; Column 'has_copy_number' has suspiciously low variance: 2 unique values; Column 'has_mutations' has suspiciously low variance: 2 unique values; Column 'has_protein' has suspiciously low variance: 2 unique values; Column 'has_clinical' has suspiciously low variance: 2 unique values; Column 'cancer_type_label' has suspiciously low variance: 34 unique values; Column 'cancer_type_ordinal' has suspiciously low variance: 34 unique values; Column 'cancer_family_label' has suspiciously low variance: 28 unique values; Column 'quality_tier_ordinal' has suspiciously low variance: 3 unique values,Synthetic score: 36. Issues: 18
/Users/stillwell/projects/cancer-alpha/data/50k_preprocessing_output/processed_datasets_20250822_191500/robust/minimal_features.csv,2.707606315612793,50000,12,SYNTHETIC,20.0,Column 'num_data_types' has suspiciously low variance: 3 unique values; Column 'num_files' has suspiciously low variance: 20 unique values; Column 'quality_score' has suspiciously low variance: 5 unique values; Column 'has_expression' has suspiciously low variance: 2 unique values; Column 'has_methylation' has suspiciously low variance: 2 unique values; Column 'has_copy_number' has suspiciously low variance: 2 unique values; Column 'has_mutations' has suspiciously low variance: 2 unique values; Column 'has_protein' has suspiciously low variance: 2 unique values; Column 'has_clinical' has suspiciously low variance: 2 unique values; Column 'cancer_type_label' has suspiciously low variance: 34 unique values,Synthetic score: 20. Issues: 10
/Users/stillwell/projects/cancer-alpha/data/50k_preprocessing_output/processed_datasets_20250822_191500/robust/multi_omics_features.csv,2.975992202758789,50000,22,SYNTHETIC,45.0,High duplicate rate: 49819/50000 (99.6%); Column 'quality_score' has suspiciously low variance: 5 unique values; Column 'omics_completeness_score' has suspiciously low variance: 4 unique values; Column 'omics_diversity_index' has suspiciously low variance: 4 unique values; Column 'quality_score_normalized' has suspiciously low variance: 5 unique values; Column 'has_expression' has suspiciously low variance: 2 unique values; Column 'has_methylation' has suspiciously low variance: 2 unique values; Column 'has_copy_number' has suspiciously low variance: 2 unique values; Column 'has_mutations' has suspiciously low variance: 2 unique values; Column 'has_protein' has suspiciously low variance: 2 unique values; Column 'has_clinical' has suspiciously low variance: 2 unique values; Column 'omics_combo_1' has suspiciously low variance: 2 unique values; Column 'omics_combo_2' has suspiciously low variance: 2 unique values; Column 'omics_combo_3' has suspiciously low variance: 2 unique values; Column 'omics_combo_4' has suspiciously low variance: 2 unique values; Column 'omics_combo_5' has suspiciously low variance: 2 unique values; Column 'omics_combo_6' has suspiciously low variance: 2 unique values; Column 'omics_combo_7' has suspiciously low variance: 2 unique values; Column 'omics_combo_8' has suspiciously low variance: 2 unique values; Column 'omics_combo_9' has suspiciously low variance: 2 unique values; Column 'omics_combo_10' has suspiciously low variance: 2 unique values; Column 'cancer_type_label' has suspiciously low variance: 34 unique values,Synthetic score: 45. Issues: 22
/Users/stillwell/projects/cancer-alpha/data/50k_preprocessing_output/processed_datasets_20250822_191500/robust/rich_features.csv,7.739886283874512,50000,31,SYNTHETIC,54.0,Column 'num_data_types' has suspiciously low variance: 3 unique values; Column 'num_files' has suspiciously low variance: 20 unique values; Column 'quality_score' has suspiciously low variance: 5 unique values; Column 'omics_completeness_score' has suspiciously low variance: 4 unique values; Column 'omics_diversity_index' has suspiciously low variance: 4 unique values; Column 'quality_score_normalized' has suspiciously low variance: 5 unique values; Column 'cancer_type_frequency' has suspiciously low variance: 34 unique values; Column 'cancer_type_rarity' has suspiciously low variance: 34 unique values; Column 'has_expression' has suspiciously low variance: 2 unique values; Column 'has_methylation' has suspiciously low variance: 2 unique values; Column 'has_copy_number' has suspiciously low variance: 2 unique values; Column 'has_mutations' has suspiciously low variance: 2 unique values; Column 'has_protein' has suspiciously low variance: 2 unique values; Column 'has_clinical' has suspiciously low variance: 2 unique values; Column 'omics_combo_1' has suspiciously low variance: 2 unique values; Column 'omics_combo_2' has suspiciously low variance: 2 unique values; Column 'omics_combo_3' has suspiciously low variance: 2 unique values; Column 'omics_combo_4' has suspiciously low variance: 2 unique values; Column 'omics_combo_5' has suspiciously low variance: 2 unique values; Column 'omics_combo_6' has suspiciously low variance: 2 unique values; Column 'omics_combo_7' has suspiciously low variance: 2 unique values; Column 'omics_combo_8' has suspiciously low variance: 2 unique values; Column 'omics_combo_9' has suspiciously low variance: 2 unique values; Column 'omics_combo_10' has suspiciously low variance: 2 unique values; Column 'cancer_type_label' has suspiciously low variance: 34 unique values; Column 'cancer_family_label' has suspiciously low variance: 28 unique values; Column 'quality_tier_ordinal' has suspiciously low variance: 3 unique values,Synthetic score: 54. Issues: 27
/Users/stillwell/projects/cancer-alpha/data/50k_preprocessing_output/processed_datasets_20250822_191500/robust/standard_features.csv,6.786077499389648,50000,21,SYNTHETIC,34.0,Column 'num_data_types' has suspiciously low variance: 3 unique values; Column 'num_files' has suspiciously low variance: 20 unique values; Column 'quality_score' has suspiciously low variance: 5 unique values; Column 'omics_completeness_score' has suspiciously low variance: 4 unique values; Column 'omics_diversity_index' has suspiciously low variance: 4 unique values; Column 'quality_score_normalized' has suspiciously low variance: 5 unique values; Column 'cancer_type_frequency' has suspiciously low variance: 34 unique values; Column 'cancer_type_rarity' has suspiciously low variance: 34 unique values; Column 'has_expression' has suspiciously low variance: 2 unique values; Column 'has_methylation' has suspiciously low variance: 2 unique values; Column 'has_copy_number' has suspiciously low variance: 2 unique values; Column 'has_mutations' has suspiciously low variance: 2 unique values; Column 'has_protein' has suspiciously low variance: 2 unique values; Column 'has_clinical' has suspiciously low variance: 2 unique values; Column 'cancer_type_label' has suspiciously low variance: 34 unique values; Column 'cancer_family_label' has suspiciously low variance: 28 unique values; Column 'quality_tier_ordinal' has suspiciously low variance: 3 unique values,Synthetic score: 34. Issues: 17
/Users/stillwell/projects/cancer-alpha/data/50k_preprocessing_output/processed_datasets_20250822_191500/minmax/onehot_features.csv,12.745686531066895,50000,34,SYNTHETIC,58.0,Column 'num_data_types' has suspiciously low variance: 3 unique values; Column 'num_files' has suspiciously low variance: 20 unique values; Column 'quality_score' has suspiciously low variance: 5 unique values; Column 'omics_completeness_score' has suspiciously low variance: 4 unique values; Column 'omics_diversity_index' has suspiciously low variance: 4 unique values; Column 'quality_score_normalized' has suspiciously low variance: 5 unique values; Column 'cancer_type_frequency' has suspiciously low variance: 34 unique values; Column 'cancer_type_rarity' has suspiciously low variance: 34 unique values; Column 'has_expression' has suspiciously low variance: 2 unique values; Column 'has_methylation' has suspiciously low variance: 2 unique values; Column 'has_copy_number' has suspiciously low variance: 2 unique values; Column 'has_mutations' has suspiciously low variance: 2 unique values; Column 'has_protein' has suspiciously low variance: 2 unique values; Column 'has_clinical' has suspiciously low variance: 2 unique values; Column 'cancer_type_frequency.1' has suspiciously low variance: 34 unique values; Column 'cancer_type_rarity.1' has suspiciously low variance: 34 unique values; Column 'cancer_type_label' has suspiciously low variance: 34 unique values; Column 'cancer_type_ordinal' has suspiciously low variance: 34 unique values; Column 'cancer_type_TCGA-BLCA' has suspiciously low variance: 2 unique values; Column 'cancer_type_TCGA-BRCA' has suspiciously low variance: 2 unique values; Column 'cancer_type_TCGA-GBM' has suspiciously low variance: 2 unique values; Column 'cancer_type_TCGA-HNSC' has suspiciously low variance: 2 unique values; Column 'cancer_type_TCGA-KIRC' has suspiciously low variance: 2 unique values; Column 'cancer_type_TCGA-LGG' has suspiciously low variance: 2 unique values; Column 'cancer_type_TCGA-OV' has suspiciously low variance: 2 unique values; Column 'cancer_type_TCGA-SKCM' has suspiciously low variance: 2 unique values; Column 'cancer_type_TCGA-THCA' has suspiciously low variance: 2 unique values; Column 'cancer_type_TCGA-UCEC' has suspiciously low variance: 2 unique values; Column 'quality_tier_ordinal' has suspiciously low variance: 3 unique values,Synthetic score: 58. Issues: 29
/Users/stillwell/projects/cancer-alpha/data/50k_preprocessing_output/processed_datasets_20250822_191500/minmax/tree_friendly_features.csv,9.291265487670898,50000,22,SYNTHETIC,36.0,Column 'num_data_types' has suspiciously low variance: 3 unique values; Column 'num_files' has suspiciously low variance: 20 unique values; Column 'quality_score' has suspiciously low variance: 5 unique values; Column 'omics_completeness_score' has suspiciously low variance: 4 unique values; Column 'omics_diversity_index' has suspiciously low variance: 4 unique values; Column 'quality_score_normalized' has suspiciously low variance: 5 unique values; Column 'cancer_type_frequency' has suspiciously low variance: 34 unique values; Column 'cancer_type_rarity' has suspiciously low variance: 34 unique values; Column 'has_expression' has suspiciously low variance: 2 unique values; Column 'has_methylation' has suspiciously low variance: 2 unique values; Column 'has_copy_number' has suspiciously low variance: 2 unique values; Column 'has_mutations' has suspiciously low variance: 2 unique values; Column 'has_protein' has suspiciously low variance: 2 unique values; Column 'has_clinical' has suspiciously low variance: 2 unique values; Column 'cancer_type_label' has suspiciously low variance: 34 unique values; Column 'cancer_type_ordinal' has suspiciously low variance: 34 unique values; Column 'cancer_family_label' has suspiciously low variance: 28 unique values; Column 'quality_tier_ordinal' has suspiciously low variance: 3 unique values,Synthetic score: 36. Issues: 18
/Users/stillwell/projects/cancer-alpha/data/50k_preprocessing_output/processed_datasets_20250822_191500/minmax/minimal_features.csv,3.528691291809082,50000,12,SYNTHETIC,20.0,Column 'num_data_types' has suspiciously low variance: 3 unique values; Column 'num_files' has suspiciously low variance: 20 unique values; Column 'quality_score' has suspiciously low variance: 5 unique values; Column 'has_expression' has suspiciously low variance: 2 unique values; Column 'has_methylation' has suspiciously low variance: 2 unique values; Column 'has_copy_number' has suspiciously low variance: 2 unique values; Column 'has_mutations' has suspiciously low variance: 2 unique values; Column 'has_protein' has suspiciously low variance: 2 unique values; Column 'has_clinical' has suspiciously low variance: 2 unique values; Column 'cancer_type_label' has suspiciously low variance: 34 unique values,Synthetic score: 20. Issues: 10
/Users/stillwell/projects/cancer-alpha/data/50k_preprocessing_output/processed_datasets_20250822_191500/minmax/multi_omics_features.csv,4.306643486022949,50000,22,SYNTHETIC,45.0,High duplicate rate: 49819/50000 (99.6%); Column 'quality_score' has suspiciously low variance: 5 unique values; Column 'omics_completeness_score' has suspiciously low variance: 4 unique values; Column 'omics_diversity_index' has suspiciously low variance: 4 unique values; Column 'quality_score_normalized' has suspiciously low variance: 5 unique values; Column 'has_expression' has suspiciously low variance: 2 unique values; Column 'has_methylation' has suspiciously low variance: 2 unique values; Column 'has_copy_number' has suspiciously low variance: 2 unique values; Column 'has_mutations' has suspiciously low variance: 2 unique values; Column 'has_protein' has suspiciously low variance: 2 unique values; Column 'has_clinical' has suspiciously low variance: 2 unique values; Column 'omics_combo_1' has suspiciously low variance: 2 unique values; Column 'omics_combo_2' has suspiciously low variance: 2 unique values; Column 'omics_combo_3' has suspiciously low variance: 2 unique values; Column 'omics_combo_4' has suspiciously low variance: 2 unique values; Column 'omics_combo_5' has suspiciously low variance: 2 unique values; Column 'omics_combo_6' has suspiciously low variance: 2 unique values; Column 'omics_combo_7' has suspiciously low variance: 2 unique values; Column 'omics_combo_8' has suspiciously low variance: 2 unique values; Column 'omics_combo_9' has suspiciously low variance: 2 unique values; Column 'omics_combo_10' has suspiciously low variance: 2 unique values; Column 'cancer_type_label' has suspiciously low variance: 34 unique values,Synthetic score: 45. Issues: 22
/Users/stillwell/projects/cancer-alpha/data/50k_preprocessing_output/processed_datasets_20250822_191500/minmax/rich_features.csv,10.033556938171387,50000,31,SYNTHETIC,54.0,Column 'num_data_types' has suspiciously low variance: 3 unique values; Column 'num_files' has suspiciously low variance: 20 unique values; Column 'quality_score' has suspiciously low variance: 5 unique values; Column 'omics_completeness_score' has suspiciously low variance: 4 unique values; Column 'omics_diversity_index' has suspiciously low variance: 4 unique values; Column 'quality_score_normalized' has suspiciously low variance: 5 unique values; Column 'cancer_type_frequency' has suspiciously low variance: 34 unique values; Column 'cancer_type_rarity' has suspiciously low variance: 34 unique values; Column 'has_expression' has suspiciously low variance: 2 unique values; Column 'has_methylation' has suspiciously low variance: 2 unique values; Column 'has_copy_number' has suspiciously low variance: 2 unique values; Column 'has_mutations' has suspiciously low variance: 2 unique values; Column 'has_protein' has suspiciously low variance: 2 unique values; Column 'has_clinical' has suspiciously low variance: 2 unique values; Column 'omics_combo_1' has suspiciously low variance: 2 unique values; Column 'omics_combo_2' has suspiciously low variance: 2 unique values; Column 'omics_combo_3' has suspiciously low variance: 2 unique values; Column 'omics_combo_4' has suspiciously low variance: 2 unique values; Column 'omics_combo_5' has suspiciously low variance: 2 unique values; Column 'omics_combo_6' has suspiciously low variance: 2 unique values; Column 'omics_combo_7' has suspiciously low variance: 2 unique values; Column 'omics_combo_8' has suspiciously low variance: 2 unique values; Column 'omics_combo_9' has suspiciously low variance: 2 unique values; Column 'omics_combo_10' has suspiciously low variance: 2 unique values; Column 'cancer_type_label' has suspiciously low variance: 34 unique values; Column 'cancer_family_label' has suspiciously low variance: 28 unique values; Column 'quality_tier_ordinal' has suspiciously low variance: 3 unique values,Synthetic score: 54. Issues: 27
/Users/stillwell/projects/cancer-alpha/data/50k_preprocessing_output/processed_datasets_20250822_191500/minmax/standard_features.csv,9.079748153686523,50000,21,SYNTHETIC,34.0,Column 'num_data_types' has suspiciously low variance: 3 unique values; Column 'num_files' has suspiciously low variance: 20 unique values; Column 'quality_score' has suspiciously low variance: 5 unique values; Column 'omics_completeness_score' has suspiciously low variance: 4 unique values; Column 'omics_diversity_index' has suspiciously low variance: 4 unique values; Column 'quality_score_normalized' has suspiciously low variance: 5 unique values; Column 'cancer_type_frequency' has suspiciously low variance: 34 unique values; Column 'cancer_type_rarity' has suspiciously low variance: 34 unique values; Column 'has_expression' has suspiciously low variance: 2 unique values; Column 'has_methylation' has suspiciously low variance: 2 unique values; Column 'has_copy_number' has suspiciously low variance: 2 unique values; Column 'has_mutations' has suspiciously low variance: 2 unique values; Column 'has_protein' has suspiciously low variance: 2 unique values; Column 'has_clinical' has suspiciously low variance: 2 unique values; Column 'cancer_type_label' has suspiciously low variance: 34 unique values; Column 'cancer_family_label' has suspiciously low variance: 28 unique values; Column 'quality_tier_ordinal' has suspiciously low variance: 3 unique values,Synthetic score: 34. Issues: 17
/Users/stillwell/projects/cancer-alpha/data/50k_preprocessing_output/processed_datasets_20250822_191500/standard/onehot_features.csv,14.98343276977539,50000,34,SYNTHETIC,58.0,Column 'num_data_types' has suspiciously low variance: 3 unique values; Column 'num_files' has suspiciously low variance: 20 unique values; Column 'quality_score' has suspiciously low variance: 5 unique values; Column 'omics_completeness_score' has suspiciously low variance: 4 unique values; Column 'omics_diversity_index' has suspiciously low variance: 4 unique values; Column 'quality_score_normalized' has suspiciously low variance: 5 unique values; Column 'cancer_type_frequency' has suspiciously low variance: 34 unique values; Column 'cancer_type_rarity' has suspiciously low variance: 34 unique values; Column 'has_expression' has suspiciously low variance: 2 unique values; Column 'has_methylation' has suspiciously low variance: 2 unique values; Column 'has_copy_number' has suspiciously low variance: 2 unique values; Column 'has_mutations' has suspiciously low variance: 2 unique values; Column 'has_protein' has suspiciously low variance: 2 unique values; Column 'has_clinical' has suspiciously low variance: 2 unique values; Column 'cancer_type_frequency.1' has suspiciously low variance: 34 unique values; Column 'cancer_type_rarity.1' has suspiciously low variance: 34 unique values; Column 'cancer_type_label' has suspiciously low variance: 34 unique values; Column 'cancer_type_ordinal' has suspiciously low variance: 34 unique values; Column 'cancer_type_TCGA-BLCA' has suspiciously low variance: 2 unique values; Column 'cancer_type_TCGA-BRCA' has suspiciously low variance: 2 unique values; Column 'cancer_type_TCGA-GBM' has suspiciously low variance: 2 unique values; Column 'cancer_type_TCGA-HNSC' has suspiciously low variance: 2 unique values; Column 'cancer_type_TCGA-KIRC' has suspiciously low variance: 2 unique values; Column 'cancer_type_TCGA-LGG' has suspiciously low variance: 2 unique values; Column 'cancer_type_TCGA-OV' has suspiciously low variance: 2 unique values; Column 'cancer_type_TCGA-SKCM' has suspiciously low variance: 2 unique values; Column 'cancer_type_TCGA-THCA' has suspiciously low variance: 2 unique values; Column 'cancer_type_TCGA-UCEC' has suspiciously low variance: 2 unique values; Column 'quality_tier_ordinal' has suspiciously low variance: 3 unique values,Synthetic score: 58. Issues: 29
/Users/stillwell/projects/cancer-alpha/data/50k_preprocessing_output/processed_datasets_20250822_191500/standard/tree_friendly_features.csv,11.529011726379395,50000,22,SYNTHETIC,36.0,Column 'num_data_types' has suspiciously low variance: 3 unique values; Column 'num_files' has suspiciously low variance: 20 unique values; Column 'quality_score' has suspiciously low variance: 5 unique values; Column 'omics_completeness_score' has suspiciously low variance: 4 unique values; Column 'omics_diversity_index' has suspiciously low variance: 4 unique values; Column 'quality_score_normalized' has suspiciously low variance: 5 unique values; Column 'cancer_type_frequency' has suspiciously low variance: 34 unique values; Column 'cancer_type_rarity' has suspiciously low variance: 34 unique values; Column 'has_expression' has suspiciously low variance: 2 unique values; Column 'has_methylation' has suspiciously low variance: 2 unique values; Column 'has_copy_number' has suspiciously low variance: 2 unique values; Column 'has_mutations' has suspiciously low variance: 2 unique values; Column 'has_protein' has suspiciously low variance: 2 unique values; Column 'has_clinical' has suspiciously low variance: 2 unique values; Column 'cancer_type_label' has suspiciously low variance: 34 unique values; Column 'cancer_type_ordinal' has suspiciously low variance: 34 unique values; Column 'cancer_family_label' has suspiciously low variance: 28 unique values; Column 'quality_tier_ordinal' has suspiciously low variance: 3 unique values,Synthetic score: 36. Issues: 18
/Users/stillwell/projects/cancer-alpha/data/50k_preprocessing_output/processed_datasets_20250822_191500/standard/minimal_features.csv,5.088791847229004,50000,12,SYNTHETIC,20.0,Column 'num_data_types' has suspiciously low variance: 3 unique values; Column 'num_files' has suspiciously low variance: 20 unique values; Column 'quality_score' has suspiciously low variance: 5 unique values; Column 'has_expression' has suspiciously low variance: 2 unique values; Column 'has_methylation' has suspiciously low variance: 2 unique values; Column 'has_copy_number' has suspiciously low variance: 2 unique values; Column 'has_mutations' has suspiciously low variance: 2 unique values; Column 'has_protein' has suspiciously low variance: 2 unique values; Column 'has_clinical' has suspiciously low variance: 2 unique values; Column 'cancer_type_label' has suspiciously low variance: 34 unique values,Synthetic score: 20. Issues: 10
